Review Text,review_english,User Name,category,sentimiento
They cared like family. My Aunt has a disability.  It took longer to get her to the car. But Ahsan was fabulous he waited and helped her. Then called me to let me know she made it safely home. <br />Thank you Precision and Ahsan.,They cared like family. My Aunt has a disability.  It took longer to get her to the car. But Ahsan was fabulous he waited and helped her. Then called me to let me know she made it safely home. <br />Thank you Precision and Ahsan.,Gaye J,Otro,2
This is one of the best chauffeur services we have used. They are extremely professional and I would highly recommend them. Their on time and if you have any questions they respond within minutes! I would give them 10 Stars !!! Thank you for making our trip seamless!,This is one of the best chauffeur services we have used. They are extremely professional and I would highly recommend them. Their on time and if you have any questions they respond within minutes! I would give them 10 Stars !!! Thank you for making our trip seamless!,Terri M,Recomendación por buen servicio del conductor,2
"Totally reliable and I would highly recommend.<br />I booked an Airport collection , delays at JFK through Passport Control were ridiculous.<br />I communicated with the driver who was patient and understanding despite having another booking to get to.<br />The SUV was fabulous, spotless , comfortable , our driver Vick friendly and professional in all aspects.<br />I also booked a return journey and again the SUV for a family of 5 was spacious, the driver prompt , the vehicle spotless , comfortable and despite even worse traffic than expected we arrived at the Airport in plenty of time and dropped right outside.<br />I really do recommend this company. New York Traffic is hard going, lots of horns blaring and lane swapping.<br />Give yourself plenty of time, sit back and relax in comfort, it’s is more than 45 mins from JFK to Times Square, which is what the books say.<br />Our inbound journey was just over an hour our return one and a half. This is due to on going road works and infrastructure change.","Totally reliable and I would highly recommend.<br />I booked an Airport collection , delays at JFK through Passport Control were ridiculous.<br />I communicated with the driver who was patient and understanding despite having another booking to get to.<br />The SUV was fabulous, spotless , comfortable , our driver Vick friendly and professional in all aspects.<br />I also booked a return journey and again the SUV for a family of 5 was spacious, the driver prompt , the vehicle spotless , comfortable and despite even worse traffic than expected we arrived at the Airport in plenty of time and dropped right outside.<br />I really do recommend this company. New York Traffic is hard going, lots of horns blaring and lane swapping.<br />Give yourself plenty of time, sit back and relax in comfort, it’s is more than 45 mins from JFK to Times Square, which is what the books say.<br />Our inbound journey was just over an hour our return one and a half. This is due to on going road works and infrastructure change.",Cressida J,Recomendación por buen servicio del conductor,2
"We are in a time when customer service has gone out of style. I will tell you it is alive and well @ Precision NY!<br />We couldn’t be more pleased with the entire experience, from booking to drop off, everything was perfection and we really felt that our experience was their number 1 priority.<br />On top of all that the pricing was more than fair.<br />Would definitely use again when in the area and recommend whole heartedly!<br />Thank you Precision NY, for restoring our faith is what it means to be a customer.❤️","We are in a time when customer service has gone out of style. I will tell you it is alive and well @ Precision NY!<br />We couldn’t be more pleased with the entire experience, from booking to drop off, everything was perfection and we really felt that our experience was their number 1 priority.<br />On top of all that the pricing was more than fair.<br />Would definitely use again when in the area and recommend whole heartedly!<br />Thank you Precision NY, for restoring our faith is what it means to be a customer.❤️",Lisa R,Otro,2
"Excellent experience with our drive from LaGuardia into Manhattan! After experiencing yellow cab rides into the city, we decided to try this private car option. It was night and day. I would use Precision again. Our driver was very professional. The vehicle was very clean and smelled wonderful. Thanks for a great trip!","Excellent experience with our drive from LaGuardia into Manhattan! After experiencing yellow cab rides into the city, we decided to try this private car option. It was night and day. I would use Precision again. Our driver was very professional. The vehicle was very clean and smelled wonderful. Thanks for a great trip!",Roxanne M,Recomendación por buen servicio del conductor,2
"I did extensive research for private transportation between JFK airport to Midtown Manhattan before committing to Precision and I'm glad I did.  All positive reviews for Precision are spot-on.  The communication, service and attention to detail were all EXCEPTIONAL. Immediately at landing, I received a text from our chauffeur Abdul.  He advised that he was already at the airport, make/model of vehicle and license plate number.  He was easy to locate and he made our travel into Manhattan exceptionally smooth and friendly.  On our departure date, Ismael text me that he was on-site.  He was at the hotel early (no complaints there) and he made our travel back to JFK airport efficient with plenty of time to spare.  If you're stuck wondering which private travel service to book, look no further than Precision.","I did extensive research for private transportation between JFK airport to Midtown Manhattan before committing to Precision and I'm glad I did.  All positive reviews for Precision are spot-on.  The communication, service and attention to detail were all EXCEPTIONAL. Immediately at landing, I received a text from our chauffeur Abdul.  He advised that he was already at the airport, make/model of vehicle and license plate number.  He was easy to locate and he made our travel into Manhattan exceptionally smooth and friendly.  On our departure date, Ismael text me that he was on-site.  He was at the hotel early (no complaints there) and he made our travel back to JFK airport efficient with plenty of time to spare.  If you're stuck wondering which private travel service to book, look no further than Precision.",dsanchez829,Recomendación por buen servicio del conductor,2
"What a great experience with Precision Limo. <br />Showed up on time , took really good care of us.  We had to move a few pick up and drop off times but it was seamless. LUS was an excellent driver and a wonderful person to experience Manhattan with. We requested her three times because she was so wonderful. Sash in the office was extremely accommodating and top line. The car was immaculate and in perfect condition.<br />I highly recommend this company they are totally worth every dime.","What a great experience with Precision Limo. <br />Showed up on time , took really good care of us.  We had to move a few pick up and drop off times but it was seamless. LUS was an excellent driver and a wonderful person to experience Manhattan with. We requested her three times because she was so wonderful. Sash in the office was extremely accommodating and top line. The car was immaculate and in perfect condition.<br />I highly recommend this company they are totally worth every dime.",Sue R,Recomendación por buen estado del vehículo,2
"We had a great experience with Precision. I cannot say enough about their customer service  - from start to finish. They responded almost immediately to every inquiry I had. Their pricing is fair and the drivers were professional, courteous, and most importantly they were prompt. We will definitely use this service again.","We had a great experience with Precision. I cannot say enough about their customer service  - from start to finish. They responded almost immediately to every inquiry I had. Their pricing is fair and the drivers were professional, courteous, and most importantly they were prompt. We will definitely use this service again.",Suzanna S,Recomendación por buen servicio del conductor,2
"We used the car service from/to LaGuardia airport.  Communication was great with the drivers for both of our trips.  The vehicles were clean, luxury vehicles with drivers in professional attire.  They were personable, professional, and assisted us with our luggage.  They knew how to navigate the crazy NYC traffic and we appreciated getting to our destination in a timely fashion.  I will definitely be using them again. ","We used the car service from/to LaGuardia airport.  Communication was great with the drivers for both of our trips.  The vehicles were clean, luxury vehicles with drivers in professional attire.  They were personable, professional, and assisted us with our luggage.  They knew how to navigate the crazy NYC traffic and we appreciated getting to our destination in a timely fashion.  I will definitely be using them again.",bestndwest,Recomendación por buen servicio del conductor,2
"We used this service to and from Laguardia Columbus Day weekend. <br />Paramjeet, our driver, was amazing. He was friendly, prompt, and knowledgeable. He arrived on time both times. He pointed out sights as we drove into the city. His car was extremely clean and he provided bottled water. We were so happy to see that he was the one picking us up at the end of our trip! Our children also loved him.<br />Highly recommend this service and especially Paramjeet for your NYC trip.","We used this service to and from Laguardia Columbus Day weekend. <br />Paramjeet, our driver, was amazing. He was friendly, prompt, and knowledgeable. He arrived on time both times. He pointed out sights as we drove into the city. His car was extremely clean and he provided bottled water. We were so happy to see that he was the one picking us up at the end of our trip! Our children also loved him.<br />Highly recommend this service and especially Paramjeet for your NYC trip.",Amanda S,Recomendación por buen servicio del conductor,2
I used them this weekend from La Guardia to  Domenick Hotel. Five star perfect service. I would use again and again,I used them this weekend from La Guardia to  Domenick Hotel. Five star perfect service. I would use again and again,qdkelly,Otro,2
"We booked an SUV to take us from our Midtown hotel to The Cloisters, and back. Mandeep, our driver, was prompt and professional. He texted us when he arrived and we texted him when we were ready for the return trip. This is a very nice private car service. Highly recommend!","We booked an SUV to take us from our Midtown hotel to The Cloisters, and back. Mandeep, our driver, was prompt and professional. He texted us when he arrived and we texted him when we were ready for the return trip. This is a very nice private car service. Highly recommend!",mariagloria,Recomendación por buen servicio del conductor,2
"Will always use this top notch car service when in NYC. The SUVs were immaculate, and the drivers were very courteous and professional. Communication was excellent, and they arrived early both times. Highly recommend!","Will always use this top notch car service when in NYC. The SUVs were immaculate, and the drivers were very courteous and professional. Communication was excellent, and they arrived early both times. Highly recommend!",Andrea A.,Recomendación por buen servicio del conductor,2
I was so impressed with this service - from the representatives I worked with to book rides to the drivers themselves.  The drivers were always early and communicated with me to ensure I knew what to expect.  I used them for a total of 5 rides - to and from the airport and to various shows.  The vehicles were always clean and well maintained. The drivers were friendly and professional and every single one spoke very highly of Precision. Plus they had all been working for multiple years - the shortest was 5 years and the longest was 13.  I will definitely use them again.,I was so impressed with this service - from the representatives I worked with to book rides to the drivers themselves.  The drivers were always early and communicated with me to ensure I knew what to expect.  I used them for a total of 5 rides - to and from the airport and to various shows.  The vehicles were always clean and well maintained. The drivers were friendly and professional and every single one spoke very highly of Precision. Plus they had all been working for multiple years - the shortest was 5 years and the longest was 13.  I will definitely use them again.,melaniea952,Recomendación por buen servicio del conductor,2
"This is our third time using them for a round-trip (airport to Manhattan & back), and they're still amazing!  Booking is easy, and they remembered our special requests.  The drivers were dressed appropriately and are very professional; the vehicles are immaculate and beautiful, and most importantly -- they were there at the appointed spot on time and even early.  I never worry that they'll be late or won't show up or will have a bad driver in a dirty car, unlike taxis or even other car services we've had.  Totally worth it -- the best thing you can spend your money on!","This is our third time using them for a round-trip (airport to Manhattan & back), and they're still amazing!  Booking is easy, and they remembered our special requests.  The drivers were dressed appropriately and are very professional; the vehicles are immaculate and beautiful, and most importantly -- they were there at the appointed spot on time and even early.  I never worry that they'll be late or won't show up or will have a bad driver in a dirty car, unlike taxis or even other car services we've had.  Totally worth it -- the best thing you can spend your money on!",cja2k1,Recomendación por buen servicio del conductor,2
"Qué experiencia tan maravillosa tuvimos con NYC Rich Limo. Absolutamente 5 estrellas y sin costos ocultos, lo que me cotizaron fue exactamente lo que me cobraron.<br />La limusina del aeropuerto fue excepcional, champán con hielo y un amable y puntual conductor Lincoln.<br />Luego, un fabuloso SUV para nuestro recorrido por la ciudad y cena en DUMBO. Nuestro conductor Natanael estaba muy bien informado y conocía los mejores lugares para tomar fotografías y cenar.<br />Para el regreso al aeropuerto, otro SUV de alta calidad con un maletero más grande para acomodar todo el equipaje y compras adicionales conducido nuevamente por Natanael, que es un chofer de primer nivel, muy bien presentado, informativo y nunca nada fue demasiado para él.<br />Si está buscando un excelente servicio de limusina y automóvil en Nueva York, no busque más que estos muchachos.","What wonderful experience we had with NYC Rich Limo.Absolutely 5 stars and without hidden costs, what they quoted me was exactly what they charged me. <br /> The airport limousine was exceptional, shampán with ice and a kind and timely driver Lincoln. <br /> Then, a fabulous SUVFor our tour of the city and dinner in Dumbo.Our driver Natanael was very well informed and knew the best places to take photographs and dinner. <br /> For the return to the airport, another high quality SUV, that it is a first level driver, very well presented, informative and nothing was never too much for him. <br /> If he is looking for an excellent limousine and car in New York, he only looks for these boys.",Culture612456,Recomendación por buen servicio del conductor,2
El servicio de limusina fue excelente de principio a fin. El conductor y la compañía son muy profesionales y la limusina en sí fue increíble. Una excelente manera de llegar a Nueva York.,The limousine service was excellent from beginning to end.The driver and the company are very professional and the limousine itself was incredible.An excellent way to get to New York.,davidcW2958KX,Recomendación por buen servicio del conductor,2
"Alexander llegó a tiempo y fue extremadamente educado. También era un conductor muy seguro. Cuando era necesario llevar bolsas de la compra al coche, él estaba inmediatamente en el punto de recogida para colocar las bolsas en el maletero del coche. Definitivamente haría esto nuevamente cuando regrese a Nueva York.","Alexander arrived on time and was extremely educated.He was also a very safe driver.When it was necessary to take shopping bags to the car, he was immediately at the collection point to place the bags in the car trunk.I would definitely do this again when I returned to New York.",Christopher C,Recomendación por buen servicio del conductor,2
"Este fue mi cuarto viaje con Rich Limo y será el último. Los conductores son generalmente increíbles, pero en este caso, nuestro conductor llegó tarde a recogernos para el viaje al aeropuerto, pero envió un mensaje de texto falso a la hora de recogida para decirnos que nos estaba esperando en el lobby de nuestro hotel. Él no estaba. Fue para cubrir sus huellas con la empresa. Lo estaba esperando afuera del hotel, pero volví adentro (dejando mis maletas desatendidas) para asegurarme de que no pudiera pasarme al vestíbulo y, por supuesto, no estaba allí como dijo. Llamé al número que figuraba en su mensaje de texto y me dijo que estaba en camino. Después de llegar unos 5 minutos tarde, nos sacó de la ruta, se detuvo en una calle lateral y dejó una bolsa de papel marrón y una botella de licor con un extraño en la calle, entablando una conversación (en otro idioma, así que teníamos no hay forma de seguirlo) durante aproximadamente un minuto, sin darnos explicaciones a nosotros, sus pasajeros que pagaban. Luego nos dirigimos al aeropuerto, 15 minutos después de la hora de recogida programada. Era fin de semana de Acción de Gracias, así que no queríamos retrasos, pero llegamos a tiempo para tomar nuestro vuelo, aunque sin tiempo para comer antes del largo vuelo. Después me quejé con la gerencia porque automáticamente cobran un 20% de propina, y no pensé que el conductor se lo merecía después de llegar tarde y luego hacer una parada adicional antes de partir hacia el aeropuerto. El gerente, Richard, discutió conmigo después de consultar con el conductor e insistió en que el conductor dijo que estaba en el hotel 3 minutos antes y citó su texto falso como prueba, por lo que básicamente me llamó mentiroso. Dijo que el inglés del conductor era simplemente malo y en lugar de decir que estaba en el vestíbulo, quiso decir que en realidad estaba enfrente. Nada de eso es cierto porque lo estaba esperando en el frío afuera (y él, por supuesto, me dijo que aún no había llegado por teléfono). También dijo que tenía que dejar un artículo que un pasajero anterior se habían ido, por lo que admitió que tomaron un desvío pero dijo que era una cortesía que extienden a todos los pasajeros, evidentemente en el horario del cliente y no en el suyo propio. El gerente incluso dijo que el conductor nos ayudó a sacar nuestras maletas del automóvil en el aeropuerto, lo que habría pensado que estaba incluido en la tarifa de $ 185, pero ahora me pregunto si eso se considera adicional. En general, fue una mala experiencia con un conductor que llegó tarde, intentó cubrir sus huellas, tomó desvíos adicionales y una empresa que no valoraba nuestro tiempo ni nuestras preocupaciones. Un Uber habría sido igual de bueno, y costaría la mitad, y al menos no me habría sorprendido si hubieran hecho una parada de entrega de comida en nuestro viaje.","This was my fourth trip with Rich Limo and it will be the last.The drivers are generally incredible, but in this case, our driver came late to pick us up for the trip to the airport, but sent a false text message at the time of collection to tell us that he was waiting for us in the lobby of our hotel.He was not there.It was to cover their footprints with the company.I was waiting outside the hotel, but I returned inside (leaving my unattended suitcases) to make sure I couldn't go to the lobby and, of course, I wasn't there as he said.I called the number that appeared in his text message and told me he was on his way.After arriving about 5 minutes late, he took us out of the route, stopped on a side street and left a brown paper bag and a bottle of liquor with a stranger on the street, starting a conversation (in another language, so we hadThere is no way to follow it) for about a minute, without giving us explanations to us, their passengers they paid.Then we go to the airport, 15 minutes after the scheduled collection time.It was thanksgiving weekend, so we didn't want delays, but we arrived in time to take our flight, although without time to eat before the long flight.Then I complained with management because they automatically charge 20% tip, and I did not think that the driver deserved it after arriving late and then making an additional stop before leaving for the airport.The manager, Richard, argued with me after consulting the driver and insisted that the driver said he was at the hotel 3 minutes before and cited his false text as proof, so he basically called me a liar.He said that the driver's English was simply bad and instead of saying that he was in the lobby, he meant that he was actually in front.None of that is true because I was waiting for him in the cold outside (and he, of course, told me that he had not yet arrived on the phone).He also said that he had to leave an article that a previous passenger had left, so he admitted that they took a detour but said it was a courtesy that extend all passengers, evidently at the time of the client and not on their own.The manager even said that the driver helped us take out our automobile suitcases at the airport, which would have thought it was included in the $ 185 rate, but now I wonder if that is considered additional.In general, it was a bad experience with a driver who was late, tried to cover his footprints, took additional deviations and a company that did not value our time or our concerns.An Uber would have been just as good, and cost half, and at least I would not have surprised me if they had made a food delivery stop on our trip.",Paradise22017912160,Queja por conductor,0
"Reservamos esta excursión de un día al outlet de Woodbury hace unos meses. Fue el mejor precio de todas las compañías de limusinas. El buzo nos recibió en el hotel. El viaje fue agradable y rápido. Se quedó con nosotros un día entero y recogió nuestras maletas. 8 horas de compras nos bastaron. La salida es realmente enorme. Los precios son muy bajos en comparación con otros centros comerciales. El precio del tour merece la pena, sobre todo ahora en otoño. ¡La carretera es tan multicolora!","We reserve this day excursion to Woodbury outlet a few months ago.It was the best price of all limousine companies.The diver received us at the hotel.The trip was pleasant and fast.He stayed with us a whole day and picked up our bags.8 hours of purchases were enough for us.The exit is really huge.Prices are very low compared to other shopping centers.The price of the tour is worth it, especially now in autumn.The road is so multicolored!",Armen G,Otro,2
Todo era perfecto. El conductor nos recibió a tiempo en la entrada de nuestro hotel. Tenía un cartel con mi nombre en la ventana.<br />Tardaron unas 5 horas en llegar a Boston.<br /> La parada de 30 minutos en el área de servicio fue gratuita.<br />El todoterreno era nuevo. . 2023.,Everything was perfect.The driver received us in time at the entrance of our hotel.I had a sign with my name in the window. <br /> It took about 5 hours to get to Boston. <br /> The 30 -minute stop in the service area was free. <br /> The SUV was new..2023.,Ваган А,Otro,2
Мой муж сделал нашей семье сюрприз и заказал лимузин на 7 человек для встречи в JFK аэропорту. Это было очень приятно. Водитель встретил нас возле терминала. Отличное начало путешествия по Нью-Йорку. Сделали замечательные фотографии с лимузином ,My husband made our family a surprise and ordered a limousine for 7 people to meet at the JFK airport.It was very pleasant.The driver met us near the terminal.A great start to trip through New York.Took wonderful photos with a limousine,Александра П,Otro,2
Reservamos un viaje desde JFK a nuestro hotel. Nos cobraron por adelantado y el conductor no se presentó. Llamé a todos los números de teléfono proporcionados y recibí un mensaje de voz o el número 1800 fue desconectado. Esto parece ser una estafa ahora. Tomamos un Uber y ahora tengo que recuperar mi dinero.,We reserve a trip from JFK to our hotel.They charged us in advance and the driver did not appear.I called all the phone numbers provided and received a voice message or the number 1800 was disconnected.This seems to be a scam now.We take an uber and now I have to recover my money.,Holly W,Otro,0
"Utilizamos este servicio dos veces en el último mes y en ambas ocasiones los autos llegaron a tiempo, los conductores fueron agradables y serviciales y la experiencia fue exactamente lo que necesitábamos. Este será el único servicio de limusina/automóvil que utilizaremos en el área de Nueva York en el futuro.","We used this service twice in the last month and on both occasions the cars arrived on time, the drivers were pleasant and server and the experience was exactly what we needed.This will be the only limous/car service that we will use in the New York area in the future.",Marcus K,Recomendación por buen servicio del conductor,2
"No es lo mejor. El tiempo de espera asignado es de 60 minutos después de la llegada del avión. Mirando los tiempos de espera del aeropuerto/sitio web de aduanas y patrulla fronteriza: nuestro tiempo de espera solo para la aduana sería un promedio de 44 minutos, lo que significa que el tiempo de recogida de 60 minutos no es realista y, por lo tanto, generaría automáticamente un cargo. Sugerimos de manera muy razonable (y cortés) que modifiquemos nuestra hora de llegada, compartiendo que estaríamos encantados de esperar en la llegada en lugar de pagar un cargo. Solo me dijeron que no era razonable sugerir esto y nuestra reserva fue cancelada; no hubo comunicación sobre el asunto ni solicitud de aclaración, simplemente cancelada. Me incomoda un poco que tengas que proporcionar tus datos bancarios para hacer la reserva y luego la cancelen de manera bastante frívola, pero ese no es el motivo principal de mi queja.<br />No es el mejor servicio al cliente: no comprende, no razona y es bastante brusco. Creo que, a menos que puedas garantizar que saldrás en 60 minutos (lo cual no estoy seguro de cómo puedes hacerlo), elegiría un servicio que esté más centrado en la satisfacción del cliente.","It is not the best.The assigned waiting time is 60 minutes after the arrival of the plane.Looking at the waiting times of the Customs and Border Patrol website: our waiting time only for customs would be an average of 44 minutes, which means that the 60 -minute collection time is not realistic and, therefore,, would automatically generate a position.We suggest very reasonably (and polite) that we modify our arrival time, sharing that we would be happy to wait for arrival instead of paying a position.They only told me that it was not reasonable to suggest this and our reservation was canceled;There was no communication on the matter or request for clarification, simply canceled.It bothers me a little that you have to provide your bank data to make the reservation and then cancel it quite frivolous, but that is not the main reason for my complaint. <br /> It is not the best customer service: it does not understand,It does not reason and is quite abrupt.I think that, unless you can guarantee that you will be in 60 minutes (which I am not sure of how you can do it), I would choose a service that is more focused on customer satisfaction.",emmalyons88,Otro,2
"Nuestro grupo llegó antes de lo previsto, pero el automóvil estaba listo y esperándonos. El conductor nos dio un buen recorrido antes de dejarnos en el hotel. Magnífico","Our group arrived earlier than expected, but the car was ready and waiting for us.The driver gave us a good tour before leaving us at the hotel.Magnificent",Dafox76,Otro,2
