User Name,User Profile,User Avatar,User Location,Rating,Rating Text,Review Title,Review Text,Helpful Votes,Photos,Published Date,Disclaimer,Review_Text_english
Rob A,https://www.tripadvisor.com/Profile/C7602BIroba,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg,,5,Jan 2024 • Family,Awesome Service!!,"Took my wife to NYC for the weekend as a Christmas present. For the same price as drinks & a desert in the city, I booked car service from the airport. Do yourself a favor and use these guys, you’ll look like a genius and might even earn a few free future screw ups with the wife!! ",0,,"Written January 6, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"TOOK MY WIFE TO NYC FOR THE WEEKEND AS A CHRISTMAS PRESENT.For the Same Price As Drinks & A Desert in The City, I Booked Car Service from The Airport.Do Yourself in favor and use toheles guys, you’ll look like a genius and miht Even Earn a few free future screw ups with the wife !!"
Darlene B,https://www.tripadvisor.com/Profile/179darleneb,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg,,5,Jan 2024 • Couples,Highly Recommend!,"Excellent car service... the drivers are on time,courteous and very efficient. We will certainly use this service on our next visit to the New York/New Jersey area.",0,,"Written January 6, 2024",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"EXCELLENT CAR SERVICE ... THE DRIVERS ARE ON TIME, Courteous and Vary Efficient.We Will Certainly Use This Service on Our Next Visit to the New York/New Jersey Area."
JHoin86,https://www.tripadvisor.com/Profile/JHoin86,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg,"Rockaway Park, NY",5,Dec 2023 • Family,"Easy, convenient, and exceptional.","Limo Star and their drivers stayed in constant contact prior to and during our scheduled pickups.  Cars were clean and drivers were friendly and attentive.  All pickups were on time and as discussed, will use again in the future.",0,,"Written December 30, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"Limo Star and their drivers Stayed in Constant Contact Prior to and During Our Schedulated Pickups.Cars Were Clean and drivers were Friendly and Attendive.All pickups were on time and as discussion, Will use agin in the future."
Curiosity07618581988,https://www.tripadvisor.com/Profile/Curiosity07618581988,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg,,5,Dec 2023 • Solo,Efficient courteous,Used them to go from the airport to my brother's house and then back a few days later. Both drivers were right on time and very courteous.,0,,"Written December 27, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Used them to go from the airport to my Brother's House and The Back a Few Days Later.Both drivers were right on time and see courierous.
Jessica T,https://www.tripadvisor.com/Profile/jessicatY7086RN,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg,,5,Dec 2023 • Family,Wonderful experience with awesome drivers,Our drivers were amazing and prompt. Both were extremely friendly and helpful. I will definitely use them again when I’m in the city. ,0,,"Written December 26, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,OUR DRIVERS WERE Amazing and Prompt.Both were Extremely Friendly and Helpful.I Will Definitely Use Them Again When I’m in the City.
Raffaella K,https://www.tripadvisor.com/Profile/637raffaellak,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg,,5,Dec 2023 • Family,Hamptons to Newark - 10/10 ,"The communication leading up and planning was incredible and efficient.  Alexis today our driver was prompt, helpful, positive and poise. The car was spacious and clean, and we felt safe and beyond satisfied. We needed a spacious car for bags and a big family around the holidays. THANK YOU!",0,,"Written December 26, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"The Communication Leading Up and Planning Was Incredible and Efficient.Alexis Today Our Driver was prompt, Helpful, Positive and Poise.The Car Was Spacio and Clean, and We Felt Safe and Beyond satisfied.We Needed to Spacious Car for Bags and A Big Family Around the holidays.THANK YOU!"
Jason R,https://www.tripadvisor.com/Profile/E2620WDjasonr,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg,,5,Dec 2023 • Family,Airport transfers in comfort ,Amazing service and high quality cars! Would 100% recommend. This is my fourth trip to NY and used Limo Star NY every time. ,0,,"Written December 24, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Amazing Service and High Quality Cars!100% Recommend Would.This is my Fourth trip to ny and used Limo Star Ny Event Time.
KLC2009,https://www.tripadvisor.com/Profile/KLC2009,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg,"Clearwater Beach, Florida",5,Dec 2023 • Family,Excellent Limo Service!!! Highly recommended!,"This is an excellent!! Limo service which we will use again when we fly into Newark and go to NYC. The driver was very professional & courteous from the airport to the hotel, & the second drive was also marvelous from the hotel to the airport!!",0,,"Written December 23, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"This is an excellent !!Limo Service Which We Will Use Again When We Fy into Newark and Go To Nyc.The Driver was Vary Professional & Courteous from the Airport to the hotel, & The Second Drive Was Also Marvelous from The Hotel To The Airport !!"
John F,https://www.tripadvisor.com/Profile/U8437QVjohnf,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg,,5,Dec 2023 • Solo,Ride from Brooklyn to EWR,Juan was an excellent and courteous driver. Car was immaculate and smelled very nice. Great trip. Would use them again.,0,,"Written December 23, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Juan was an Excellent and Courteous Driver.CAR WAS IMMACULATE AND SMELED VERY NICE.Great Trip.Would Use Them Again.
Paul M,https://www.tripadvisor.com/Profile/Q7987RXpaulm,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg,,5,Dec 2023 • Friends,New York trip,"Limo star was extremely professional. We had one part of our group missed their plane so they adjusted accordingly without a flaw. No price problems no nothing it was great. Meaning no nothing no problems whatsoever. The people are courteous and they act pretty prom now it is a little hard to get through on the phone but if you text there With you in just a few minutes. And the professional Pamela was very good much, thanks great trip to New York. Thank you guys. ",0,,"Written December 12, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"Limo Star was Extremely Professional.We had one part of Our Group missed their planet so they adjusted accordingly without a flaw.No Price Problems No Nothing It was great.MEAING NO NOHING NO PROBLEMS WHATSOEVER.The People Are Courteous and They Act Pretty Prom Now It is a little hard to get This on The Phone But if Text there with you in just a few minute.And The Professional Pamela was very good, Thanks Great Trip To New York.Thank you guys."
Katie N,https://www.tripadvisor.com/Profile/399katien,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/7b/default-avatar-2020-6.jpg,,5,Dec 2023 • Couples,Excellent car service,Excellent communication and service. Our driver was extremely courteous and we felt safe. He communicated well and helped us with our bags and had bottles of water for us,0,,"Written December 12, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Excellent Communication and Service.Our Driver was Extremely Courteous and We Felt Safe.HE COMMUNICATED Well and HELPED US WITH OUR BAGS AND HAD BOTTLES OF WATER FOR US
Jennifer T,https://www.tripadvisor.com/Profile/j12092022,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg,,5,Dec 2023 • Family,Excellent service!,Friendly and professional staff. Booking was super easy and the response time was fast. Booked last minute with no issues. Driver was early and made getting to the airport on time a breeze. ,0,,"Written December 12, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Friendly and Professional Staff.Booking was Super Easy and The Response Time was fast.Booked Last Minute with no issues.Driver was Early and Made Getting to the airport on time to Breeze.
Channing D,https://www.tripadvisor.com/Profile/646channingd,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg,,5,Dec 2023 • Family,Excellent service,"Daniel was excellent. On time and very professional. Most importantly, he got us there safely! Definitely will use again",0,,"Written December 12, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"Daniel was Excellent.On Time and Vary Professional.Most Importently, He Got Us There Safely!Definitely Will Use Again"
Tony G,https://www.tripadvisor.com/Profile/tonygQ3736BT,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg,,4,Dec 2023 • Friends,"Great experience, highly recommend ",Our driver was Freddy. He was very friendly and maneuvered through horrible traffic to get us to our destinations safely. ,0,,"Written December 12, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Our driver was Freddy.He was see Friendly and Maneuvered Through horrible traffic to get to our destinations safly.
Rosa R,https://www.tripadvisor.com/Profile/H6569NQrosar,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/a9/default-avatar-2020-50.jpg,,5,Dec 2023 • Friends,Xmas in NYC ,"Driver was excellent courteous, and on time, despite the holiday traffic around Manhattan and the airport. The service has some of the best drivers around. Highly recommended.",0,https://media-cdn.tripadvisor.com/media/photo-w/2a/f8/89/0b/caption.jpg,"Written December 8, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"Driver was Excellent Courteous, and On Time, Liss the Holiday Traffic Around Manhattan and the Airport.The Service Has Sub of The Best Divers Around.Highly recommended."
Kelli K,https://www.tripadvisor.com/Profile/kellisH343YJ,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg,,5,Dec 2023 • Family,Great experience!,"We had a great experience. Friendly, on time and managed all of our luggage. :)<br />Will use them again.<br />Kelli ",0,,"Written December 7, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"We had a Great Experience.Friendly, On Time and Managed All of Our Luggage.:) <br /> Will use them agin. <br /> Kelli"
Maggie M,https://www.tripadvisor.com/Profile/D6466SHmaggiem,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg,,5,Nov 2023 • Family,Excellent service ,"Customer service was exceptional. From the time I emailed them for an estimate until the time their driver dropped me at home, I felt I was in great hands. Edward, my driver, was on time, respectful, drove with care, really great. Car was spotless. Highly recommend.",0,,"Written December 1, 2023",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"Customer Service was exceptional.From The Time I Emailed Them for an estimate the time their dropper drop me at home, i felt i was in great hands.Edward, My Driver, was on time, respectful, Drove With Care, Really Great.CAR WAS SPOTLESS.Highly recommends."
bustrorl,https://www.tripadvisor.com/Profile/bustrorl,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg,"Leawood, KS",5,Feb 2018 • Couples,Great Service!,I used angel elite car service to pick up my daughter and son. They were on time and were very nice. They kept in communication with me and I followed the trip from LaGuardia airport to the renaissance midtown up on their map.<br /><br />Can’t wait to use them again! ,0,,"Written February 14, 2018",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,I used Angel Elite Car Service to pick up my Daughter and Son.They were on time and were Vary Nice.They KEPT IN COMMUNICATION WITH ME AND I FOLLOWED THE TRIP FROM LAGUARD AIRPORT TO THE RENAISANCE MIDTOWN UP ON THES MAP.
suitcasewarriors,https://www.tripadvisor.com/Profile/suitcasewarriors,https://media-cdn.tripadvisor.com/media/photo-o/18/88/41/b8/avatar.jpg,"Gold Coast, Australia",5,Aug 2017 • Couples,Faultless!,"After travelling long haul from Oz to NYC, we chose Angel Elite to pick is up from JFK Airport. The process was simple and pain free from online booking to pick up! Our driver met us at the Baggage Claim as requested and price is very reasonable. Loved the service, Renaldo gave us a good running commentary on the drive into NYC. A+ !!!",0,,"Written August 13, 2017",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"After Traveling Long Haul from Oz to Nyc, We Chose Angel Elite To pick is up from Jfk Airport.The Process Was Simple and Pain Free from Online Booking to pick up!OUR DRIVER MET US AT THE BAGGAGE CLAIM ASCASTED AND PRICE IS VERY REasonable.Loved The Service, Renaldo Gave Us A Good Running Commentary On The Drive Into Nyc.A+ !!!"
PivotalEllie,https://www.tripadvisor.com/Profile/PivotalEllie,https://media-cdn.tripadvisor.com/media/photo-s/08/0e/72/f1/pivotalellie.jpg,"London, UK",5,Dec 2016 • Family,Superb Service ,"I am thoroughly impressed with the service we received from Angel Elite. The online booking process was easy and confirmation came quickly. I was sent a text message with the driver's name, number and car registration the day before the trip. The driver was waiting despite a long delay to the flight. Our driver was extremely smart and very pleasant, and the car was incredible. I would definitely recommend and would use them again in a heartbeat.",0,,"Written December 18, 2016",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"I am Thoroughly Printed with the Service We Received from Angel Elite.The Online Booking Process was Easy and Confirmation Came Quickly.I was feeling text Message with the Driver's Name, Number and Car Registration The Day Before the trip.The Driver Was Waiting Long to Long Delay to The Flight.Our Driver was Extremely Smart and Vray Pleasent, and the car was incredible.I WOULD DEFINITELY RECOMMEND AND WOLD USE THEM AGAIN IN A HEARTBEAT."
LoveStreet,https://www.tripadvisor.com/Profile/LoveStreet,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg,"Edinburgh, UK",5,Oct 2016 • Solo,Brilliant Service,"My wife was flying into JFK from Edinburgh to see her sister who lives in NYC, so I booked with AE to meet and greet her at arrivals. She has just texted to say it went like a dream, car was amazing and she felt very relaxed knowing she didn't have to sort out travel alone. Booking was easy online and I would definitely recommend.",0,,"Written October 21, 2016",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"My Wife was Flying into JFK from edinburgh to see her sister who lives in nyc, so i Booked with ae to meet and greet her at arrivals.She has just text to say it went like a Dream, Car Was Amazing and She Felt Relaxed Knowing She Didn't Have To Sort Out Travel Alone.Booking was Easy Online and I Would Definitely recommends."
HipnoZZa,https://www.tripadvisor.com/Profile/HipnoZZa,https://media-cdn.tripadvisor.com/media/photo-s/05/21/7a/4a/hipnozza.jpg,"St. Petersburg, Russia",5,Sep 2016 • Friends,роскошно,"Местная подруга на свой день рождения заказала услуги этой компании (доставка ее друзей из ресторана в клуб). Цивильные дорогие машины, хороший водитель, шампанское внутри)) <br />Мы были приятно удивлены ее сюрпризом для нас-)",0,,"Written October 12, 2016",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"Местная подруа на свой день рождения заказала усли этой комании (доставка ее дрзей з р р р з з зЦиьные дорогие машины, хороший водитеь, шаманское внутри))"
Kenneth M,https://www.tripadvisor.com/Profile/kennethm61,https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg,"Watertown, MA",5,May 2016 • Solo,These guys deserve their rave reviews!,"My 96-year-old mother flew into New York for a 1-day family celebration; I arranged her airport pickup.  The last time she flew in, we had a hotel arrange her airport pickup; it was a disaster ... at twice the price of Angel Elite.  This time, I relied on the reviews and called Angel Elite.  Abe, Carlos, and Jorge were masterful:  responsive, attentive, and totally fun to work with.  They won my business and my heart.  Thank you guys ... not only for doing your job so well, but also for doing it with such patience!",0,,"Written May 7, 2016",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,"My 96-Yare-Oold Mother Flew Into New York for 1-Day Family Celebration;I Arranged Her Airport Pickup.The Last Time She Flew In, We had a Hotel Arrange Her Airport Pickup;it was a disaster ... at twice the price of angel elite.This Time, I relied on the reviews and street angel elite.Abe, Carlos, and Jorge Were Masterful: Responsive, Attendive, and Totally Fun to Work With.They Won My Business and My Heart.Thank you guys ... not only for doing your job so Well, but also for doing it with such Patience!"
Babs_Banni,https://www.tripadvisor.com/Profile/Babs_Banni,https://media-cdn.tripadvisor.com/media/photo-o/07/99/3c/20/caption.jpg,"St. Petersburg, Russia",5,Mar 2016 • Friends,Пафосно)),Подруга на свой девичник пользовалась услугами этой компании. Выходя из дома я и не надеялась увидеть такой шикарный автомобиль. Чувствала себя звездой Голливуда.,0,,"Written April 30, 2016",This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC.,Подруа на свой девичник поьзовалась услами этой команииouth.Выходя из дома я и не надеяась увидеть такой шикарный автомобобиь.Чвстала себя звездой голивда.
